;Name;Value
117;ELAClassifierOffsetAwake;-0.5
118;ELAClassifierOffsetTired;0.5
119;ELADrivingBehaviorPeriod;1200.0
120;ELADrivingContextScalingMax;1.2
121;ELADrivingContextScalingMin;0.8
122;ELALaneDistanceModifactionParameter;0.15
123;ELAMaxDrivingContextBrightnes;1000.0
124;ELAMaxDrivingContextCircadian;2.0
125;ELAMaxDrivingContextToT;18000.0
126;ELAMaxValueToT;18000.0
127;ELAMsgDelay;0.0
128;ELAMsgPause;0.0
129;ELAMsgThreshold1High;6.0
130;ELAMsgThreshold1Low;7.0
131;ELAMsgThreshold1Medium;6.5
132;ELAMsgThreshold2High;7.0
133;ELAMsgThreshold2Low;8.0
134;ELAMsgThreshold2Medium;7.5
135;ELAMsgThreshold3High;8.0
136;ELAMsgThreshold3Low;9.0
137;ELAMsgThreshold3Medium;8.5
138;ELAMsgThresholdSpeedInactive;65.0
139;ELAMsgThresholdSpeed;70.0
140;ELASmootingParameterEMA;0.05
141;ELAThresholdDrivingBehaviorFraction;2.0
142;ELAThresholdDrivingBehaviorHistory;2.0
143;ELAThresholdDrivingBehavior;2.0
144;ELAThresholdLaneTimeCrossing;0.5
145;ELAToTAIScalingMax;6.5
146;ELAToTAIScalingMin;4.0
147;EnvironmentBrightnessEMADecay;0.5
148;FacAccLateralMAD;1.0
149;FacAccLongitudinalMAD;1.0
150;FacAccPedalGradientMAD;1.0
151;FacAccPedalMAD;1.0
152;FacCircadianRhythmELA;10.0
153;FacCountersteeringMoment;2.0
154;FacDaylightELA;5.0
155;FacDriverActivityELA;15.0
156;FacDriverBrakingMAD;1.0
157;FacELADriverClassification;10.0
158;FacMonotonyELA;30.0
159;FacSteeringAngleMAD;1.0
160;FacSteeringAngleSpeedMAD;1.0
161;FacSteeringMomentMAD;1.0
162;FacTimeOnTaskELAAI;0.4
163;FacTimeOnTaskELADC;30.0
164;FacUSSDMLevel;0.05
165;FacVehicleSpeedMAD;0.05
166;FacWeightingDtlILAIndex;0.1
167;FacWeightingSteeringILAIndex;0.4
168;FacWeightingTlcILAIndex;1.0
169;FacYawRateMAD;1.0
170;FktConfigDaylight;0.0
171;FktConfigEKAActiveUserInteraction;1.0
172;HoldTimeAcousticPhone;20.0
173;HoldTimeAcousticVoiceControl;20.0
174;HoldTimeAdjustmentVolume;20.0
175;HoldTimeFactorActiveUserInteraction;1.0
176;HoldTimeFlashing;20.0
177;HoldTimeHeavyBraking;20.0
178;HoldTimeInfotainment;20.0
179;HoldTimeLightAcceleration;20.0
180;HoldTimeLightBraking;20.0
181;HoldTimeOperatingExteriorMirror;20.0
182;HoldTimeOperatingFASButtons;20.0
183;HoldTimeOperatingHighBeam;20.0
184;HoldTimeOperatingMedia;20.0
185;HoldTimeOperatingSeatAdjustment;20.0
186;HoldTimeOperatingWiperLever;20.0
187;HoldTimeOperationMenu;20.0
188;HoldTimeOverrideLongitudinalControl;20.0
189;HoldTimeStrongAcceleration;20.0
190;HoldTimeStrongSteeringMovements;20.0
191;MaxDtl;1.5
192;MaxELAIndex;9.9
193;MaxWeightedRateSteeringEvent;0.8
194;MonoDriverInitTime;300.0
195;PassengerPresenceEval;1.0
196;PotentialAcousticPhone;1.0
197;PotentialAcousticVoiceControl;1.0
198;PotentialAdjustmentVolume;1.0
199;PotentialFlashing;-1.0
200;PotentialHeavyBraking;-3.0
201;PotentialInfotainmentLevel1;1.0
202;PotentialInfotainmentLevel2;2.0
203;PotentialInfotainmentLevel3;3.0
204;PotentialLightAcceleration;-1.0
205;PotentialLightBraking;-1.0
206;PotentialOperatingExteriorMirror;3.0
207;PotentialOperatingFASButtons;1.0
208;PotentialOperatingHighBeam;-2.0
209;PotentialOperatingMedia;1.0
210;PotentialOperatingSeatAdjustment;3.0
211;PotentialOperatingWiperLever;-1.0
212;PotentialOperationMenu;2.0
213;PotentialOverrideLongitudinalControl;-2.0
214;PotentialStrongAcceleration;-3.0
215;PotentialStrongSteeringMovements;-3.0
216;RestAreaNavBreakNotification;0.0
217;RestAreaNavELAMsg1;0.0
218;RestAreaNavELAMsg2;0.0
219;RestAreaNavELAMsg3;0.0
220;RestAreaResetTime;20.0
221;SensorDetectionDebounceTimeMFK;10.0
222;SignalErrorDuration;5.0
223;SignalInitDuration;5.0
224;SignalNeverReceivedDuration;5.0
225;SignalOutOfRangeDuration;5.0
226;SignalTimeoutDuration;5.0
227;SignalValidDuration;5.0
228;SteeringAngleEMADecay;0.005
229;SteeringAngleEMATime;0.1
230;SteeringAngleSpeedEMADecay;0.005
231;SteeringAngleSpeedEMATime;0.1
232;SteeringMinimumEvalTime;600.0
233;SteeringMomentEMADecay;0.005
234;SteeringMomentEMATime;0.1
235;TLCMinSpeed;90.0
236;TLCPreDebounceTicks;1200.0
237;TestMsgWaitTimeToAbort;100.0
238;TestMsgWaitTimeToSwitchLevel;100.0
239;ThresholdDriverChangeVehicleSpeed;25.0
240;ThresholdSharpLeftTurn;-70.0
241;ThresholdSharpRightTurn;70.0
242;ThresholdSpeedELASteeringDetection;60.0
243;ThresholdSteeringInactivityPeriod;0.3
244;ThresholdTlcCntIncludeInELA;900.0
245;ThresholdUSSDMQual;70.0
246;TimVehPowStatOffInSec;120.0
247;TimeAttentionCheckMs;300.0
248;TimeSteeringInactivityPeriodQualMs;1000.0
249;TimeWindowDtlInTicks;200.0
250;TimeWindowTlcCntInTicks;3600.0
251;VehicleSpeedEMADecay;0.002
252;VehicleSpeedEMATime;0.1
253;WeightedEventRateNormFactor;500.0
254;YawRateEMADecay;1.0
255;YawRateEMATime;0.1
